street_number	street_direction	street_name	street_type	unit_type	unit_number	city	state_abbrev	zip
1		2nd	Ave.			Mason City	IA	50401
1		2nd	St.			Delaware	OH	43015
1		4th	Avenue			Chesapeake	VA	23320
1		53rd	St.			Ooltewah	TN	37363
1		6th	St.			Latrobe	PA	15650
1		8th	Street			North Canton	OH	44720
1		Acacia	Lane			Rockville	MD	20850
1		Acacia	Street			Piqua	OH	45356
1		Academy	Road			Roseville	MI	48066
1		Adams	St.			Logansport	IN	46947
1		Alderwood	Dr.			Calhoun	GA	30701
1		Alton	Drive			Annapolis	MD	21401
1		Alton	St.			Willingboro	NJ	08046
1		Amherst	Ave.			Stratford	CT	06614
1		Amherst	Street			Hamburg	NY	14075
1		Andover	Dr.			Biloxi	MS	39532
1		Andover	Street			Dekalb	IL	60115
1		Ann	Avenue			Piqua	OH	45356
1		Annadale	Ave.			Natick	MA	01760
1		Applegate	Dr.			Libertyville	IL	60048
1		Applegate	St.			Muskogee	OK	74403
1		Applegate	Street			Cockeysville	MD	21030
1		Applegate	Street			Lansdale	PA	19446
1		Argyle	Circle			Pembroke Pines	FL	33028
1		Arrowhead	Lane			Lakeville	MN	55044
1		Ashley	Ave.			Braintree	MA	02184
1		Ashley	St.			De Pere	WI	54115
1		Ashley	St.			Oklahoma City	OK	73112
1		Atlantic	Rd.			Grandville	MI	49418
1		Augusta	Ave.			Muskegon	MI	49441
1		Augusta	Rd.			Deerfield Beach	FL	33442
1		Baker	Ave.			Pawtucket	RI	02860
1		Bald Hill	Drive			Saint Charles	IL	60174
1		Bald Hill	St.			Lapeer	MI	48446
1		Bayberry	Drive			Collierville	TN	38017
1		Bayport	St.			Tuscaloosa	AL	35405
1		Beach	Ave.			Morgantown	WV	26508
1		Beach	Court			Hamburg	NY	14075
1		Beacon	St.			Gulfport	MS	39503
1		Beacon	Street			Columbia	MD	21044
1		Bear Hill	Dr.			Pomona	CA	91768
1		Beaver Ridge	Ave.			Ambler	PA	19002
1		Beaver Ridge	St.			Levittown	NY	11756
1		Bedford	Ave.			Ogden	UT	84404
1		Beech	Court			Fort Walton Beach	FL	32547
1		Beech	St.			Lewiston	ME	04240
1		Beech	St.			Wake Forest	NC	27587
1		Beech	Street			Independence	KY	41051
1		Beechwood	Drive			Carlisle	PA	17013
1		Bellevue	St.			Lacey	WA	98503
1		Belmont	St.			Columbus	GA	31904
1		Belmont	St.			Lagrange	GA	30240
1		Big Rock Cove	Court			Kearny	NJ	07032
1		Big Rock Cove	Street			Southampton	PA	18966
1		Birch Hill	Ave.			Eau Claire	WI	54701
1		Birch Hill	Ave.			Indianapolis	IN	46201
1		Birchpond	St.			Mansfield	MA	02048
1		Bishop	Road			Waltham	MA	02453
1		Border	St.			Newport News	VA	23601
1		Border	St.			Pawtucket	RI	02860
1		Boston	Street			Middletown	CT	06457
1		Branch	Road			Brookline	MA	02446
1		Branch	St.			Deltona	FL	32725
1		Briarwood	Drive			West Bend	WI	53095
1		Brickyard	Avenue			Maryville	TN	37803
1		Brickyard	Lane			Middleton	WI	53562
1		Bridle	Dr.			Orange	NJ	07050
1		Brown	Ave.			Grand Haven	MI	49417
1		Buckingham	St.			Miami	FL	33125
1		Buttonwood	Lane			Minneapolis	MN	55406
1		Cambridge	Drive			Dallas	GA	30132
1		Cardinal	Lane			Bethel Park	PA	15102
1		Cardinal	Street			Atlanta	GA	30303
1		Carson	Road			Cranberry Twp	PA	16066
1		Carson	St.			Saint Cloud	MN	56301
1		Carson	St.			Winter Garden	FL	34787
1		Cedar	Ave.			East Meadow	NY	11554
1		Cedar	Dr.			Royersford	PA	19468
1		Charles	St.			Port Orange	FL	32127
1		Cherry	Rd.			Halethorpe	MD	21227
